Date,Open,High,Low,Close,Adj Close,Volume
2016-03-28,126.230003,127.089996,125.110001,126.959999,116.769714,5328000
2016-04-04,126.540001,130.020004,125.580002,127.879997,117.615860,22220800
2016-04-11,128.250000,131.949997,126.680000,131.130005,120.605003,20869700
2016-04-18,131.130005,133.850006,128.490005,131.050003,120.531433,21443700
2016-04-25,130.449997,137.889999,129.309998,134.800003,123.980423,26289800
2016-05-02,134.380005,135.000000,130.529999,133.259995,122.564034,17738200
2016-05-09,132.800003,135.240005,131.820007,132.119995,121.515556,18622700
2016-05-16,131.630005,134.490005,127.089996,127.389999,118.120888,19617100
2016-05-23,127.400002,129.899994,125.879997,129.220001,119.817734,19347200
2016-05-30,129.880005,129.979996,124.779999,127.379997,118.111610,21841000
2016-06-06,127.599998,133.820007,127.449997,131.139999,121.598022,22943700
2016-06-13,130.789993,131.759995,126.900002,129.820007,120.374107,21492500
2016-06-20,131.360001,134.550003,126.209999,126.519997,117.314178,23635000
2016-06-27,125.680000,130.339996,122.349998,129.690002,120.253555,22882500
2016-07-04,128.429993,130.460007,123.959999,130.089996,120.624435,15458300
2016-07-11,130.839996,133.250000,129.369995,132.389999,122.757095,18238700
2016-07-18,132.380005,135.669998,130.570007,133.470001,123.758514,17056800
2016-07-25,133.179993,139.449997,132.300003,133.660004,123.934685,22098200
2016-08-01,133.210007,134.229996,130.960007,131.729996,122.145103,14711400
2016-08-08,132.139999,133.779999,131.710007,133.100006,123.415413,12882500
2016-08-15,133.699997,135.960007,133.399994,134.440002,125.690948,12379800
2016-08-22,134.300003,136.369995,131.820007,132.229996,123.624786,12033400
2016-08-29,132.720001,133.580002,128.360001,131.160004,122.624420,14875100
2016-09-05,131.630005,133.080002,128.520004,128.529999,120.165581,13857700
2016-09-12,126.879997,130.679993,126.309998,126.699997,118.454674,26386900
2016-09-19,127.500000,132.479996,127.269997,131.779999,123.204063,14617300
2016-09-26,131.070007,132.779999,129.860001,131.740005,123.166679,11250200
2016-10-03,131.279999,135.000000,130.740005,133.850006,125.139374,16323000
